Sentiment,Label
pigpipirit diri pagpaabaon lampas tingron babaying pagsilngan,positive
ngata uda poster kwarto,neutral
mapili nakuko tanuman kalendaryo alak litrato babaying nakabikini bulan,neutral
gab i lugod sexy,positive
gab i magsupong pulang bikini maglunad puting kabayo puting kastilyo uulat prince charming istar mamuya sagkod,positive
aldow pigpupurbaran diri bumigay fatal attraction lipstick mommy dearest isupong heels,positive
high school risa mas intresado,positive
darwa intresado maray pigpapaalagan pagigin birhen,positive
madre mamamabros pakaputan arukan makakaiyan impyerno,negative
tubod,positive
uulat tamang abot migtao loving lightning feeling matching fireworks singsing kasal,positive
nagdrowing prince charming nakasurat bitnga pana naglagbas,positive
buko monopolyo,neutral
intresado pwede kandang sabiyon noh,positive
sirang santaringon sigeng pilik pilik pirok irik itik sige durat crush,positive
kamaturan mas magayon papilik pilikon itom pirok mas maispid mas matibay,positive
mas maganting bumayli bayliyan kisa kandang makakanos walawon tiil haliparot pigparatagisan nakakarapo,positive
ata babaying ginibong full body contact tango nagdududa daddy interes ballroom dancing diri opisyal makareklamo gustong kapadis,positive
maray osteoporosis,positive
panawon kolehiyo,positive
buot paratutturo inhenyero abogado nars doktor padi,positive
tuberculosis math rugo dakol dakol rugo marapado palo palo magkaon tapayas pandulsi sagkod,positive
no deal bakla,positive
pinakagusto magluog fashion school makatuod magdisenyo maggibo gowns syempre maggamit mas maray kisa pitoy moreno,positive
ngabilon buot sabiyon junior,positive
kanos,negative
diri diri diri daddy magluog philippine military academy,positive
pigsumite application pigpirit test,positive
milagro nakapasar,positive
daddy big time general kopra paroy mais pambulang hadi macho syudad,positive
palad guramoy apos lumipad makakarait patay,positive
mapapalibutan kintana pma kadakol masisiram unipormadong,positive
narungog kakadugon binabaying,negative
kaipuwan tusaran bok uda makakakapot crowning glory,neutral
nagdulag los angeles magigin bok pma nagpaiyan metro manila,negative
nagdagos muna pinsan sinabiyan daddy diri pagpadaguson mapiritan pumauli,neutral
nagturu tambay remedios circle malate narungog,positive
uda sintabo aalop inako imbitasyon gurang maray samaritano pagkaon inumon diri rabadonkey pakatapos,neutral
buko prince charming uda kiki lat with matching fireworks,positive
don t cry for me argentina the truth is diri isipan maray abo arte baktin pigbubuno kris aquino pelikulang vizconde massacre matuod teleserye queen magtatangis binaldeng ubag pagsilngan lalawgon pakatapos,neutral
hormones biyong inaarangkada pangangaipo awak,neutral
magkaon inom rabadonkey sunod sunod,neutral
mader diri uunaon,positive
rabadonkey naturan pagsulbong tab slot c slot b,neutral
pagkaon inuman rabadonkey migturog muna gatingay gisungon oras maggalin,neutral
kadaklan panawon tatawan sintabo balik remedios circle,positive
udang load cell phone rubber shoes bling bling,neutral
panawon kadaklan cell phone analog kaipuwan nagngangalas gift rubber shoes giving nagpuon,neutral
diri isipan maray,neutral
pagal mamuya i was just girl who wanted have fun,positive
nakatipon sintabo makaarkila kwarto kaiba ding tulo binabayi,positive
nagpundo magsupong mesh shirts buko magayon supong,positive
nakatuod magbutang foundation bukong espasol pagsilngan lipstick bukong gumamela ngabil,positive
group dates natuparan future papa kaiba grupo bading bukong bading pagsilngan nakipagbayadan grupo binabayi,positive
pabayli barangay grupong iing ingan kiisay,neutral
tunay padis tipong punok pormal probinsyanong bakla silong kadaklan,neutral
bilog gab i nagngangalas pigparaunga ungang slumbook magparabisara bisara bisara,neutral
magparabisara labing nagkakaon iinom sunod gab magkaibanan sunod sunod,neutral
nauda nagpundo magpara isip mingyari kanamong darwa,neutral
inunga abnormal,negative
problema payo awak,negative
magbisara eh go with the bisara,neutral
pakatapos tatawan sintabo magparapakibisara diri makipagdaliyan,neutral
nagpuon maglaom magparalaom mababayad makaibanan makakapay pipilion isusupong isip sasabiyon,neutral
gab i labing uulat restawran nagtangad nagsabi hello natamaan kitkilat syempre diri pagmati matamaan kitkilat sabay sulog bakla payaba,neutral
uda rason pagpayaba bukong,neutral
rosaryo misteryoso,neutral
he had me hello,positive
gab inunga lady boy will you be my girlfriend,positive
bakla dream come true,positive
nagrait arteng beauty queen nanggana miss universe title nagbukas nganga nagtawob nganga pigyapyapan lalawgon nagtatangis labing nagsasabing i don t want cry,neutral
nagtawa nagsabing i can t believe it tawa sabing yes faster than four clock mabawi,positive
naturakan prince charming with matching fireworks show gab,positive
pigtrato prinsesa pakatapos normal rabungan chorva,positive
abo ikang magraan ibog magkilas kilas detalye papayabaon forever mabubuway happily ever after,positive
biyo payaba yang biyong mammuya nagbakal binasa kama sutra,positive
ginibo sige balik balik sige sige diri diri diri sige,positive
bakla pigpurbaran kindi diri kayang,positive
dyos uda posisyon noh,neutral
nagin prinsesa ordinaryong problema relasyon luog taon onseng bulan baynte tres aldow eksakto wasa aldow pakatapos sinabiyan kakasalon risa buko bride,positive
buko payaba payaba ngaya magkaiba together forever nilalauman,positive
kadaklan udang saysay payo nagtatumbling pasiko siko,neutral
nobya closet queen,positive
payo ingab ingab dyos,positive
kinatapusan mother denial queen,positive
oedipal complex,neutral
mas dakol tumbling pasiko siko payo,neutral
mader adtong nora aunor vilma santos all in one moment pigtutubtob rurug gan labing nagsasabing you lied me you said you love me stay with me fight for us i gave you my heart body and soul kaibang hayop hayop hayop,negative
pinakamakulog,negative
bukang maapros binububuan suka,negative
kulog ha,negative
pigmamawot gab i star light star bright bottom of my hypothalamus,neutral
ata mas dakol tagubtob dakol hayop hayop hayop,negative
all my bags were packed and i was ready go walk out with matching crayola,negative
pakatapos pinalayas apartment aarkila,negative
pakatapos pigpurbaran magbalik utro gibo dati diri,negative
nagdesisyon pumauli los angeles,positive
syempre diri sinabat alibughang kwasa risa mas alibughang,neutral
maray diri pinag alow lyay nakabisto sinabat singgayang tikmong tawa,positive
mas gurang silngan diri sinabi,neutral
kagustong,positive
abo magka dysmenorrhea,negative
pigpadagos pagtutturo kaaswangan,neutral
sinilngan daddy funda lipstick maabang itom makintab bok galore nagsayuma silngan kausipon pakatapos,negative
in fairness diri linumos linaom ginuraan,neutral
nagpundo magbutang foundation moisturizer magbutang lip gloss kisa lipstick pinaputulan bok paabot abaga sinisimbag uunga lagong boses kopra mais paroy,neutral
pigbawasan sisters matutunow make up init los angeles,neutral
pambulang teritoryo daddy,positive
mas maray relasyon wasa pigpara kantyawan,positive
noh,positive
mommy dearest uraol piggakos uraol gatingay nagpuon mangadyi 200 tara kagurangnan maria uru aldow demonyong espiritu nagsanib gumalin,positive
magigisong ibabow payo labing iing you devil you devil go away mas dakol tara kagurangnan maria,negative
semana magparangisli hayop hayop hayop labing aasikaso kopra paroy mais,negative
sasabiyon grupo uru aldow namong chika lain madali matitigbak,negative
hayop hayop hayop mas kisa no offense meant uda,negative
iyay orasyon pwede tunay,positive
babaying ayop pwede babaying diri,neutral
pakatapos dakol 45 days sinabiyan iyay pumundo pagparaistorya biyong nalululdok nagkakailang,negative
pigsilngan true,positive
nagkaagko trangkaso,positive
bukong bird flu gagagirl nagluwas pakatapos y2k bug,negative
nakakuko tawan bird ex jowa trangkaso,negative
sipon diri mauuda,negative
inunga iyay posible,positive
nagtawa demonyo buot sabiyon kondisyon naglalagbas ultanan garden of good and evil,neutral
makakulog bukong makatabang,negative
haller syempre kul gan ex jowa,negative
iyay tututturuan umbalyo pwesto residenteng aswang los angeles,positive
pagal mas gurang gurang magretiro magraan,negative
makaretiro magraan maipasa kapangyariyan aswang kiisay girl boy bakla tomboy cannot be butiki baboy unggoy lady boy,negative
pagigin aswang equal opportunity career,positive
gaumno gustong kulgan ex jowa aswang proseso,negative
pigparauna aldow gab i iisip love quotes love songs aldow gab i first love never dies he broke my heart and took it with him i could never love again if i can t have him no one can hell hath no fury like bakla scorned don t get mad get even forever because we are starting over again que sera sera,negative
pigparaunga iyay aldow gab i makangangalas kinaban ugman sindak pagigin aswang,negative
nangyaring sunod seeeeeeecret,neutral
charot diri sikreto ding seremonya diri pwedeng sabiyon saradong kontrata kadakol patara tara pakatapos instant baklang aswang ititch,neutral
nakaistar los angeles baoy mother lady boy,neutral
mas magayon kisa mother ricky kuya boy,positive
and what chocnut iniisip magigin baklang manananggal beses bulan,negative
diri magkakaon orasyon,negative
naparong bag ot magigin instant ulam nayka,negative
ikamamangli multong bakla nadadak lan pagbutang funda,negative
nagpapadalagan kopra paroy mais kingdom magtatabang aros aros diri nangungulog kiisay,neutral
daddy magigin bulangero king senior citizen macho syudad,neutral
diri iistorya macho senior citizen kana syempre,positive
mommy dearest sige pangadyi 200 tara kagurangnan maria uru aldow naglalaom mingagom tatawan mukuapo umabot panawon,neutral
denial queen mudra dearest,positive
single available konsentidora pakialamera chikadorang pigsasadol get into the dating program sister with matching cluck cluck cluck,positive
pangaturganan beauty contests miss gay universe mabuhay,positive
my name is lady boy and i m from los angeles iriga cityyyyyy,positive
and for my talent i ll show you my aswang poweeeeeers,positive
winner,positive
uda dragon maribok maati matawong syudad,positive
dragon ngangabilon balon espanyol amerikano briton kandang pelikula,neutral
maski pigdidiskutir kanato kunong abayan thai indonesian tsino nagdara,neutral
dragon nilalang nagigin matuod pigpapatpat dayong baad nagtubod punto matuod manangga,neutral
dragon dyos kinaban nagbuburwalyuwan ultanan pagigin among maestro depende dragon depende iistorya,neutral
ngaya nagparadakol napagkausaran sugidon,negative
librong nabasa mabuot kunong nagdesisyon sirang bayaan maglipat kinaban,positive
pangkangaminan dragon naglalayog nagbubuga kalayo,neutral
nakikipaglaban pangala kina kaon kabalyero magrarawat karnero,negative
mangunguko magagayon raraga prinsesa isip baad kakaunon,negative
syempre nagparatipon bulawan pigbabantayan yaman,neutral
uuna dragon kadesididong magtipon yaman bantayan naiisip sangraan bangko panic buying,negative
nagtawa kabistado dragon pigsabi pariyo sinabi agua de mayo mauban panawon,neutral
buko dayong dragon kausad ragang,negative
labas isura pigkakaon diri ising anggang mas maray awak,positive
baya gustong magkaon buway patal makasadiring nakabado utak,negative
isipa magkisam kisam tumulon,neutral
magagayon birhen nalabyan estimar baya gigibuwon bulawan,positive
ibakal labas isura miga pobreng paraisusura,neutral
sadiriyon yaman,positive
uda dragon maablada pigsabi,positive
lain diri nakakalayog buko ikang kalalawgon dragon,neutral
dakulong buaya,negative
pigsasabing,neutral
sinabi kapinsanan paraaling nakatupar buway dragon urog ding nilalang magtubod,neutral
migtubod,negative
nagsurang lakadakulong berdeng bukol intrimis dilaan raot kakusong,neutral
isipon kapay bayai nabisto dragon,neutral
nabunggo nabunggo apon tag init santiago magbabakasyon tag init tanuman apuon,neutral
gurang diri salog salog nagbubulos puon bukid syudad iriga tuyong agua de mayo nagbabandilyong tag init,neutral
kapangyariyan makabulong nagtugon gurang diri magrigos salog aldow nagigin kulor lumot baad masapot kana nagluluyloy sanga gurang,neutral
rugang ugot magluluwas istaran maglangoy manginaon puro salog magrararom,neutral
kayang itago darawon kadakuluan ibulos,neutral
maglangoy salog uuran matutuparan ugot kakaunon sasabiyon kandang litanya,neutral
diri nagtubod nginabil syempre,positive
pigsasabi gurang tuodon pigsasabi diri mapagal magparabantay nagpaparakagrat nagngangayamon pwede sirang mabasa awas salog,negative
baya pagkakaiba,positive
mababasa,positive
pinili sundon gurang pigpilian malamasa nangga posibilidad malumos,negative
apon tag init kabublayan angsa kamunduan turog syesta dinulag salog,neutral
diri nakaturog namuot angsang,negative
sobrang angsa ubaliw isusubol ikang maglaom luog pridyider maglubto salog pinili uri,positive
abang aagi nagpuon magtagiti pangala uuran,neutral
diri napugulan urok utok abang pigmamati kaginawaan nagtuturo payo lalawgon pigpaparong pigsisigbo pahang ispaltadong tinampo raga,neutral
narungog arayong ugong salog nagdalagan parani,positive
uban uban nakaabot pangpang pigsilngan nagbubulos lumot abang aangos angos,positive
uda babaying naglalaba salog uda damulag kaibang naririgos mariribok,neutral
isip malalamasa paraaling bugtong manipis kalap binirib dan puro lubid abaka piggagamit panakot kanamo panlapdos damulag umiwag,negative
iisip gaumno kasanit abang nagsisibog parayo pangpang salog,negative
isip maray maglalangoy malalapnitan abang dinalagan binwelo palukso salog,negative
linanding dakulong bato irarom,neutral
nagngungurot apulas lubot narutaan dakulong bato,negative
iwag bato,neutral
nagbaliskad naglangoy pararom mamansayan arani bato uda makangangalas umiwag utro narisang lakadakulong,neutral
syempre nagrait raot pagmati nagrarait nagtutulon,negative
isipon nagkukutkutat nagkukupad kupad pakpak irarom itsura,neutral
naiitganan,negative
iwag bilog espasyo irarom nakakaangos utro angin ultanan ubo,neutral
ibinusol ababow piglilili nagbusol,neutral
nilalang payo buaya sampulong beses pagkadakulo,neutral
nagrait utro pigdali diretso alinuwnow gugom,negative
nagrait aww abang aapulas tinalikod kinuripas makaawas salog,negative
aww ultanan pagngurob ngurob nabuta nabuta pigbabaoy sadit dyablong isura,negative
buko sadit dyablong isura sadit babaying pigsilyakan abang pabirik atubangon,negative
diri ungaon naintindiyan pigsasabi,neutral
diri ungaon ngata reaksyon,negative
baad nasindakan baad sutil nangga tagasyudad rira baad pagigin malakaubin kadungasan,negative
kapatal nining sinabiyan diri salog agua de mayo,neutral
nagrarait biyong nauungot,negative
angsa maglangoy tirada,neutral
kintana panawon masasadiri ding salog rinaot,positive
ngata ding salog ha pigsilyakan pigsisilyakan,negative
ugot tao ikang galang makatakot nagrait,negative
ugot baoy dragon,negative
atungal nagpaisip napangabil dragon,neutral
siguro nakatakot kaunon aabala ablo sige rimong rimong,negative
syempre diri kinaon nagsabi migkaon alop ungot,negative
pangala naglubto labing uula pangpang kinabisara,neutral
nagparatuab tuab labing iistoryanan iskwela syudad telebisyon betamax pagbuway buway,neutral
sinabiyan ngata malakagustong i tease bok ispriyan aquanet kagusto magsusupong shoulder pads,neutral
sinabiyan kagusto magparangayamon atari video games diri makakangayamon daddy pirmi nagngangayamon,neutral
diri naiintindiyan maski kabanga pigbibisara diri buot sabiyon ngangabilon piggagamit,neutral
baya ginigibo nagpundo pagparaunga,neutral
buko napupurisaw init,negative
narisa nagpundo nagbababow salog,positive
miggalin nagdudurdarwa mamundo gatingay,negative
abo maggalin,positive
okay uli lugod,positive
aanap gayod,neutral
aanap gayod diri nagsimbag,neutral
migbayadan utro,positive
baydon sunod agua de mayo makatunga,positive
mas maray diri ipag,positive
ngata diri iisip nanggayod magtubod,neutral
ulat sikreto amigo,positive
naggalin ugot,neutral
uri naisip labing aagi pabalik pakuapuon diri diri,neutral
pangala nagpundo pagparaisipon abang iiratong iisip iieksplikar basa bado,neutral
pigsabi naisipan magngayamon agua de mayo,positive
pirmi palusot pagtapos tag init,neutral
sunod tag init tag init migparaiyan salog nanggayod,positive
ugot nagpaparaulat,positive
pangarwang beses nagtuytoy kaabaan taludtod puno lumot bato guma pagmati pigsusukol kaiba ikog plastik ruler dara,neutral
ginamit adtong ruler nagngayamon uru espadahan pinsan,neutral
pigtabangan magkwenta 12 pulgada beses abang pinapaligid ligid ruler pantira shato 26 beses,neutral
sinabi 12 pulgada pye 3 28 pye metro gaumno kaaba pulgada pye metro kwentahon,neutral
kapagal ribong pakatapos,negative
ikatulong beses pigtugal asag kulit buros kulor gatas kinaputan nagkapot kuskos isura tugaw,neutral
ikaupat beses pigtugal buksan panga mabayad ngipon nagsayuma ugot pagmati kabayo,neutral
nadto pisikal eksaminasyon,positive
pirmi dadarawon salog lunad payo dadarawon uda nakakaabot nakakabayad lain agta aagi agi,neutral
lalaking nakalunad taludtod dragon the neverending story nagrait sadit naglangoy ispid,positive
pumundo rait sadit,positive
itututturo pagngangaranan ayop pirmi gatingay,positive
alimbawa pigtutturo beses salamander baoy tuko sinabi maiisiyan init kinaugmaan binilang beses magtu tuko ultanan init abang pigbibilang beses tuko,positive
masakto uring numero magigin panawon sunod aldow,neutral
ginigibo pagsunod aldow tama,positive
pigsabiyan,positive
pirmi ibabalik ugot primerong nagkabayadan abang uurow,positive
abang aagi taon usipan nagda dalagan munyika mararaot maestro pastidyong nagdadakulong suso,negative
silong migdakulo abang pigtutuldo ding rurug gan kauyaman,negative
nakakaupol kaipuwan lugod magsupong bra diri makainga naggumod gumod irik itik,positive
diri dragon,neutral
nagpatusar,positive
wasang iskwelan inumaliwan kuto pinatusaran parlor,neutral
kalalawgon demi moore gayon,positive
istoryawan pelikulang ghost,neutral
vhs players laser discs high school crushes paunong ma in love kurt cobain pagbasa sweet dreams sweet valley mills boon magkaulangan,positive
supong,neutral
paralimos,negative
kurt cobain itsura bata,neutral
pigsilngan gasi pantalon lubad bado grunge,negative
istoryawan nirvana musika maabang bok mas makaka headbang tunay,neutral
naririsa nalalangkag abang pangpang salog nagduduru maglubto,neutral
abo maglubto,neutral
maraot aldow parong,negative
diri pagsabiyon malangsi ngurob,negative
diri makakalangoy kasabay,negative
diri pwedeng mabasa,negative
gurang makakapay mabasa,negative
pigpupulikat maray diri makaiwag pagkastigo dyos orihinal kasalan eba,negative
nagsabi masimot,negative
diri magmuda,negative
pigtutturuan abo gamiton pigtutturo,neutral
bukong sinabiyan diri pagdiktawan gurang gigibuwon,neutral
baya problema,negative
nagkakaulangan,negative
naintindiyan,positive
pumundo,negative
syempre ginibo uyamon baad nagigin mabuot pigsabiyan,positive
baad baad baad naiisip regla,neutral
apon ula pangpang salog iisip nakakapay abang uulat punok,negative
urow nagray pagmati nabasa diri nakapay gurang,neutral
dangan uring taon vcd players problema college kauragan buway,neutral
dakol kauragan,negative
diri tinutturuan pelikula,neutral
silong perpektong lalaking among tuod ideal,positive
baad ipinako krus opinyonadang babaying,negative
baad ginusto ding,neutral
ugot iniiwas iistar kadakulo pira edad makikibisara magraraan,negative
naturan agi taon diri magparaunga akuon,positive
napatalukso gaumno kamundo ugot,negative
alimbawa agua de mayo solamen teng panawon makakadulag prisuwan ginibo istaran,negative
amigo kadtong ubang panawon istar kaibanan naggurang nagraan,neutral
uda diri marumruman nagkaagko lain kadtong babaying,negative
bukong mamuya kinakatakutan,negative
kinakatakutan diri naiintindiyan miling pigtatakutan pagsusugidon titigbakon,negative
iwag kinaban,neutral
rason ngata pigpapromisa diri kiisay agi agi iristoryawan agua de mayo diri maski,positive
ngata diri labing binnababa taludtod pangpang salog,positive
maray ikang nilalang gaumnoy karay diri rarakupon gagamiton pantakot,positive
gaumnoy karay diri rarakupon gagamiton pantakot,positive
pangala pwede ikang makibistuwan makibisara,positive
kawasa patal,negative
narumruman pakaraot sinabi dragon,negative
imati nakabayad aldow taon nakakaagi biyo nanggayod sirang freaked out,negative
gigibuwon kintana pinakamaray pinakamagalang magdalagan padulag diri magbalik atakiyon,positive
ginibo reklamo,positive
buot sabiyon,positive
kapay,negative
salamat ha,positive
baad kapay ikang dragon,negative
nagtawa baad isip tawa,positive
nagpundo uda ugot,neutral
sunod taon salog abot pigparaulat sigurado pariyo sirang umaabot labing uulat,neutral
abot ugot napasilag,positive
nagtindog gilid salog pigsilngan,positive
uulat,positive
aldow ipapabayad nakaistar,positive
kaiba labing pigkakayab magrapo lalaking nagtatago nagsisirong irarom,positive
lalaking papakasalan,positive
mabisto nagpromisa,positive
atungal,neutral
padagos aatungal,neutral
diri maintindiyan ngata lakaungot,negative
piglamasa ugot ikog nagpapakaraw kasaw napapaalon,negative
aatungal daguldol,negative
lalaking talikuran nagparakagrat nagdalagan parayo labing nagkakagrat,negative
atungal beses ugot nauda,negative
ulat iyak diri sigurado kiisay iiyak baad darwa,negative
kinatapusan nabayaan,negative
lalaking papakasalan pigsusubi subing nagparapamarita kapay alimaw salog,negative
syempre binayaan adtong tapayason,negative
nagtubod uring uding naibanan ugot,negative
ngaya sala gurang magngayamon agua de mayo,negative
dinara doktor payo albularyo uda sinabi dragon,negative
pinabayaan normal uda ipinagkaiba,positive
paglabos panawon nagin kaibanan gurang ugot ngata magrayo salog agua de mayo,neutral
abot pararakop ayop turista palas ugot,negative
narungog namit mas masiram,positive
pigparaulat sunod agua de mayo,neutral
uda nakabayad nakarakop syempre uda makatukod abot,negative
kapatal,negative
migpabayad,neutral
salamat madaling malangkag malingaw,negative
agi taon taon pinabayaan salog ugot,positive
narurungog iiyan aanap iiyan sirang sala panawon salang rason,negative
ikaupat taon ulat gilid salog labing iiratong iuuran iinapos tag init,neutral
bumabalik diri nagpasilag,neutral
patawad patawad patawad malumot,positive
bumalik malumot sunod taon,positive
baad kunong agua de mayo migbalik baad mapatawad,positive
baad magigin amiga utro sunod taon,positive
diri nagsimbag,negative
diri nauban naggalin banwaan nagdesisyon maglipat syudad nagmamadali pinalid kasibutan pagbuway,neutral
nagtatrabaho diri nababayadan tama nagbabayad bayaran iinom bar nakikitagbuan nakikitawaan mabawasan kamunduan nagpapa ayaay spas,neutral
paglabos taon nalingawan agua de mayo,negative
madaling malingaw syudad diri uuran init init,negative
aros magtubod ugot pantasya pangaturganan,negative
apon tag init naturakan nakaula kaunan dating lumang greenhills,neutral
uulat kaiba nagsirang bintana abang iigop iced tea,neutral
pagsilong luwas iisipon apwera ikang natad sulog,neutral
namati nagpundo kinaban uulat angos bilog kinaban,neutral
nagturo gatingay maluway dagos dagos nagbubulos,neutral
angos bilog kinaban,positive
narumruman agua de mayo ugot labing pigsisilngan turo nanananggilid salming bintana,positive
itsurang kapay ordinaryong 28 anyos solong nakaula nagtatangis bayad diri kabisto uda mikilabot syudad,negative
uda dragon maribok maati matawong syudad,negative
uda nangga dragon syudad,negative
migtubod sabiyon klaseng dragon nakaistar salog malumot 400 kilometro baryo baoy santiago,neutral
magtubod magpapasilag agua de mayo uulat,negative
mawot kabisaranon akuon utro amiga,positive
baad istoryawan dvds internet ipods,positive
baad istoryawan droga pulitika,negative
migtao nanan pagkakataon manarita gaumno kapatal paradanyar,negative
baad iiba darawon istaran,positive
baad diri paulion,positive
baad kapay pinnili kapay dragon kaibanan buway,negative
magtubod,positive
begas sasabiyon,positive
inaabot banwaan paraugbon puta paralulugos mas dakol padi iaatod desterado landingan lumupad pabalik libertad sunod gab i,negative
gin bistado ina ranow buhi pinakasadit isura dinakulo ampak,neutral
naudaan ranow ina lugod pigpapara baha kaabay nalulupang banwaan,negative
ina pinag alow dekada nakalalabos ayupan agom pinurbaran guranon beses,negative
nagpatanid kaungutan mistisong unglo malain mapangangagom pagka kabayo nasalakan sugid kagnubo dayo pagtubod,negative
narakop amay pinupurbaran puoton apay ulunan son sonny tinawa,negative
pirmi sonny magtatawa buko patawang ngaya ina arani supuon ama ampon naatake pagpurbar pagguraan diri nakawawawoy,negative
mary son,positive
mary puta begas guy,negative
diri sasabiyon sonny,positive
sonny nabansagan sonny dungas puon sampulong taunon sirang magkagrado iskwelan nagin paraimpormar suldado gera kanto triangulo,negative
kanto triangulo puro aldow,positive
gab i miglabanan unong rugo kagurangnan laman pagpuputa kagurangnan dados huwego kagurangan kristal narkotiko,negative
kasalan naginibo trayanggulong lakwat pagsadiri rugo gibong ikukumpisal padi ipingangadyi nuestra señora mapatawad,positive
nungkang nangastor nakasturan sonny isadto urog buko ding padi kindi napiritang kapong isog rugo nakamana kanto trayanggulong teritoryo desterado paraguraan ermano,neutral
tutok transaksyon puon kapinuonan,neutral
sonny dungas nagpabura mary sinabiyan kakabayuwan,negative
uda pautaot magsugot mary binudalan lalawgon sonny unong klaseng kauragan pagsabiyon nagtayo pagtubod dungas,negative
mary interong diri pigsisisino sinnilung nangga inarukan nagru rugo nagngisi sonny lininggan lalawgon tulo nagin amigo puon,negative
begas tadi yaba sasabiyon mary,positive
pirmi rugo iiyan kindi urog sonny,negative
nungkang pinurbaran sonny dungas buko malakadungas titigbakon,negative
sonny migprotehir uru utro diri pakarauton guy,negative
mary pigpaparaliman limanan nagpaparaurog udog telepono malakainsistidong nanunubsob,negative
unom kadtong aldow naggalin kabangang kabangang lipod kaipwanan sustansya suso sinimbag baoy narungog sonny ikang mabayad,negative
sonny nagngurob ngurob ngata diri nagsimbag,negative
mary tinnawa naglalaom ikang sisim bagon nagtatrabawo,neutral
mary angos unong oras nagpatuod miggalin tinukuran ngisi,neutral
amay labing pampito kadtong aldow nagluog kwartong parong nilinggang kaduan pinuonan sambawon ringring,negative
rugo rinurukay laman itinatao,negative
pinabaoy pirmi luluwason,positive
dagos utro begas guy,positive
sasabiyon sonny,positive
binuktutan baldi pulang serbesa kabayo solamenteng kayang inumon,positive
biyo dayo sonny kabangang unglo kabangang kapre pigninigaran pariyong lado intinatakwil bigik,negative
pagkabuway utang buot talingkas makapag agi aging uda kinatatakutan areglado kagurangnan dado kagurangnan laman mangunguko halo lahi bunuon rugo tulang gagamiton paggibo tuytoy edipisyo nungkang maraot,neutral
isinalbar bisyong mana rugong kapre adtong aso pipa pamana lahi pigprasadol kagurangnan kristal kadtong gera kanto triangulo,neutral
puturo narumpag kadtong tarhetang kagranan utang pipa diri mabayaran payo diri makauli,negative
sige patianod edipisyo sunshine consortium kapitolyo nakasungsong headset nagigin bampirang ba robot guru gab i dikta ekonomiya libertidad,negative
pagpapara ursinuwon bisor guraan pukuapuon nagraan ngaya ginibong rason ngata nagpalta libreng makiurong udong,neutral
sonny ataman diri marungaw gera pirmi kinukulibat mary,positive
sinilngan sonny magpaparakubog kubog son,positive
nagtawa sonny diri kapot bras pinta guy,positive
suso lubot,neutral
puta son tistingon,negative
angal sonny atang guy,negative
nagtuga mary uda pipa son,positive
naggulom sonny mary puru pirmi guy,negative
beses nagpinta sonny disisais nagraraan pipa,negative
ipininta sagrada familia ginibo mary,positive
gumalin begas,negative
buot sabiyon mary migbyahe labing 400 kilometro norte kapitolyo,neutral
namati mary tinnulid awak sonny nakasilong labing dinnaguso uulat gakos sonny,neutral
inalsa pinapiring piting sonny labing sige urok utok,positive
napasilyak malulupuan,positive
son,positive
ayat dispensa sonny labing renisibe mary gakos luway tapi payo,positive
innatras pigsilngan 6 6 1 mamula mulang bulaw kulit awak pangalas pirmi lingaw gaumno kamong darwa kalangkaw,neutral
nagsimbag niwang baba,negative
nagpaliman liman mary inunga sonny bibi,positive
nagngisi sonny,positive
nagsilong sonny sinabi,neutral
sinabad mary namumuot bibi,positive
napatawa sonny diri magpapara silong magbalibol,positive
sinnugrot hayskul,neutral
pinakuro kuro sonny pirok,negative
sangbay,negative
nagngurusdot mary kiisay,negative
nagtawa utro sonny,positive
kapre guadalupe guy,neutral
putok bata sangbay pulis kadungas migraan,negative
dyos son,positive
buaya kakaunon ikang buway,negative
mary rugo bibi buko,negative
angos mary,positive
diri pwedeng kuonon,negative
uda permisong makiiba buko rugo,negative
narungog bibi,positive
nagngurob ngurob sonny mary,negative
nagsilong mary,neutral
uda malain mangyari,positive
napaiktin nagpromisa utro natutudang ganador gera kanto triangulo,negative
pakatapos sinabi uulat nanggayod nuestra señora,neutral
kaligtasan begas,positive
mary,positive
dati duru daragita mapiling rugo puturo awak,neutral
kadtong panawon pinaglulugos ama dayo pagtubod iginapos matrimonya pagtubod talas kalag karag inilaom imahen naurma rugong bulawan urma mabros awak pinagpalas palas umang tumtumang kaibanan rugo,neutral
pagtubod kalalakiyan nagtugang poprotehiran boyadores pagdadarawon imahen palibot iaagi salog mabendisyunan banwaan mapasunod rugo pagtubod,neutral
pinaninindugan pirmi kalalakiyan nakalingaw agi panawon kapinunan pugulan lumuson salog,negative
amay nuestra señora ina,positive
pagkakantawon pangadyi napuonan 300 taon nakaagi,positive
puon pirmi ipagpaparada palibot nanggayod pobre raot pugong putok badil luwas bilyaran bakla pagpupugutan susuluon,negative
ngaya mapapakaray ilong namundag bumbaoy rugo tumiklod nabuway liwat laman nuestra señora bumalik,neutral
tipan kapatawaran kasalan nagpuon uban panawon,positive
mary dakol ina nauudang dinulag makauli,positive
kalalakiyan kababayian iiyan destyerong rugo kapitolyo inaanap maitatao matris obligasyon dinulagan,negative
biyaya nilalang,positive
patawaron begas baba,positive
pagsasabiyon pirmi,positive
padi magigin ama pinayaba mary puon dyes anyos,positive
kauriyan pigdulot ina kaligtasan kalag agom,neutral
magtutuod,positive
