cleaned_comment,Label
mga arog kan na kaso dapat tigbakon man.,Negative
uda an karapatan mabohay sa mundo ayupan an... pisti saburay niena niya.,Negative
agko napo curfew pag gabi bawal sinda lumuwas tsaka migpabakuna napo sinda tapos migsecure pa po icontact ki mayora wy,Neutral
kung fruit bats yan. dakulo a pakinabang ka biodiversity ta sinda a magtatabang sa pagpropagate kin mga semilya ka kanatong mga kahoy sa kalangtadan.,Positive
treeplanters kun baga. kundi mas mabilis a tawo magpulod kahoy kesa sa pag ipot ka mga kalabidong ku mga seedlings na pinag fertilize sa buros ninda.,Positive
"mga namumuya sana yan kya mga ngraralayogan ,kin uno2 na ton mga naiisipan ninyo",Positive
ayon sa aklat na itim paparating na si minukawa,Neutral
agko pangitain mig uran sa udo. ingat po,Neutral
naku malaking problima yan..cgurado alice yan ang nsa sto domingo.,Negative
bga sa sunod c pakito na lumabas o kya c dyroth.,Positive
nabulabug an.ta agko gad nag uudo sadto kawuy na pinag iistaran nira.hahaha gp,Positive
basta ngalas ngalason ka kolalapnit mag rurulowasan lugod lalo na pag naka babayad sa makakanus,Negative
pinutol n kya ninyo su manga c2n gilid,Neutral
agko po kya alien sdi rinconada na gustong maghari abo kan ka mga bats kya pray tayo na d an mangyari.,Negative
agko yan pig kakaon na bunga sa mag kahoy dakol bga mga kahoy na dadakolo,Neutral
agko senda kakagaton na mnga para taban,Neutral
rider sheild ano nanaman kaya sa susunod mag years na puro experimental ibig sabihil,Neutral
itong mga nagpapatupad ng regulasyon wala talagang kakayahan ng mapigilan ang pandemya,Negative
"dipa ba kayo nakakahalata pinagloloko tayo ,pero pera ng bayan ubos na",Negative
ang iba ngani mau pang mga mask ano na tau mga kabayan sunod sunod din pag my time,Negative
dae makakatabang asin baku solution an lockdown.,Negative
lalo mababa asin magtios an dating tios.,Negative
pagnagutom nga yao dae mo yan pued pugulan magluwas! sa pilipinas ing nman ganyan npaka oa n doh,Negative
iatf silang may mga virus hindi n mkapaghanap buhay ung mga tao,Negative
"nawalan din po kami papaya, wala po ba kasama ng manok?",Negative
may palatandaan po ba sa pakpak ng manok wpc po.?,Neutral
ruro pa itu tinaban na manok haha,Negative
sadto tabi kanamo bagumbayan baao bale 11 na manok tinaban.,Neutral
kami man po ngani sadi portico naudaan man sa tulong damulag at darwang arado,Neutral
salamat naturukan na po so motor nauuda sdto sta cruz ku pinsan ko tapos amu na yan so nagluog sdto tindahan ko auntie ko.,Positive
putlan an sa guramoy nganing maraya.,Negative
post po ninyo so tawo nganing mabisto.,Neutral
amu gad an soh pinost dati na tinabanan pati tindahan.,Neutral
ay tpos una q narakop na a pra camap sa motor na an ag pra taban sa manok.,Negative
saan na puyan nawalan po kami lima manok sagrada baao,Neutral
mig tupada gad,Neutral
bka nakaisip magbono sa manok kaya nagtaban sdto kaabay sa baloy dpat tinuda man,Neutral
niya so paa ko manok nganing agko man alaala sdto kagsadri hahag,Neutral
llan po manok nakua dyan pero po familiar mo manok nayan,Neutral
"sana po matabangan po ninyo kme. subrang boot po kan. na ayam namu , halos. ngod na ah turing namo kan pag nag uuli kme sa bicol , dali kan na sumabat , d pumupundo.",Negative
"pag dimo pinaarok sana po matabangan po ninyo kme,, hindi ing po basta aso yan",Negative
report nindo po sa animal welfare para madakop me kagibo kaan hirak man po kang ayam,Neutral
baka nagmamanada man gad adtu dinali kan nag selos gad amu na ninyo pa batukon pag gabi,Negative
nanay mas better po na dina ninyo pakawalan a ayam tas tutukan niyo po a maapros niva ta baka ma infect,Neutral
para po kanako dko talaga gusto ah modural kc uda man po natturan ka mga igin.,Neutral
ayos yan may kopyahan para de stress a mga studyante.,Neutral
sa kamaturanan dakol a mga bagay na pinagaadalan ka tawo pero gatikat man sana a magagamit soyan pag nag gradwet.,Neutral
"dai ko aram kung mapilingpiling ako, o mangirit digdi",Neutral
say raw lugi ka arug ka gibo. amu yn sabi pgpapaklase mgpra buburadol. haha,Neutral
unfair kc ang klase ngayon.pano kung khit elementary hinde nka tapos ang guardian,Negative
balakayojan hayp na yan sabungan nga binuksan paaralan winakasan chalap bobohay,Neutral
kompleto pati oragon mka search mn rw kdi nganing dna mpagal s tuturo kdi mga,Neutral
sadto pa ayu kopyahan ngana sana kamo aalma..,Negative
kaya abo ko ka module iton,Negative
dae mo man sana yan magagamit kung may password kaya ibalik mo na lang sa aki ta hirak man.,Negative
maapektuhan pa an pag klase dahil saimong kuramag ka.,Negative
mag hanap buhay kang tultol bakong mangikit ka kang bako mong pinagalan..,Negative
baka may online class din yung magnanakaw,Neutral
naglabos an sunabgo maagahon sa atubangan kan harong mi sa cbanbanan.hale cinra,Neutral
sa way from balatan. kaibana ang kanding n lunad sa motor..ang ipag ngalas ing ngata,Neutral
kung nanaban cra nin kanding sa tapayas. ngata hale cra sa balatan?anuyan nanaban,Negative
ge ang joyridelang motor nira n pig gamit natural n padlagan mn sna..bakong,Neutral
kapa kaldereta saka papaitan kiton,Neutral
nag kambingan sa gorong gorong pa...ipababakal gad a kambing..,Neutral
huli cam si kuya.. uda pa facemask another kasogp,Neutral
kauragon kan pagtitigbason pag marakop.,Negative
dae kamo pakaribuk ta maluto kami nin papaitan dae kamo maghagad ta karibuk nindu,Negative
"mga maray sa bokong kanda, ata kadakol na kiton cctv nguan, diri pa mga nararaya,",Negative
"irak man ko kagsadiri tsk, tsk hayzzzt",Negative
kaipuhan daa kya bako ma cholesterol kya kanding na sna,Neutral
lintek n yan kumuha ng pampulutang,Negative
malqng dali sana kan marakop painan ng kambing sa gilid kan kalsada bantayan pala,Neutral
kon may magkoko a bokong bisto badilon tolos.udna dakol n urosipan,Neutral
pwerte kiton sa papaitang,Neutral
nag pulis para mag lusi hanggang nguwan na gurang na nag parulusi sana ang gibo ko,Neutral
yan. nasusubrahan na maglusi hanggang sa di na mapugulan..,Neutral
hilang na yan manoyeg,Negative
boy jakol palan si sir dawa sito loog kito stasyon di na pinaabot sadto baloy nira,Neutral
"pero kin ordinaryong tao,lalo qng pobre tg siwalat na a ngaran ska picture..",Negative
nanungod kya na my ranggo,Neutral
baka man nagkakasa lang kan bad... amo man daw!,Neutral
ang iipokrito nio prang d kayu naglulusi a.,Negative
kung s hrapn ko ikaw naglusi tulungan p kta ng mka raos kn sir,Neutral
"wrong audience lang nangyari. kung tamang audience lang sana, meron pa syang",Neutral
dapat an punishment digdi sa pulis na malibog na adi punasan nin sili an manoy kaini tanganing maraya.,Negative
yah uda lugod kami bbtime ngowan bublay hahahahaha pakarayi ninyo,Negative
wala na bang bago??7lagi na lang ganyan ..pis wag lang sana sa singilan magaling sana,Negative
sa serbisyo din kasi d nmin pinupulot binabayad sa inyo kaya sana maayos ang sebisyo balik sa amin,Negative
maski uno gad pong internet basta sa pinas uda kamutangan mapa globe o pidt pare,Negative
pareho luya ka signal. pero pag sa billing ka kumpleto ka detalyeg,Negative
shoutout sa mga mag jowa na idr tapos nag iiwal ngunyan. dae maka suyo toltolp,Negative
"ku usad payan... perme lugod lowcredits ta afk, uyam",Negative
"mig bebe time pa ko, pisti",Negative
"permi mn dwa uda cut n fiber wire, taz pag ni report di prin ma approve for bill",Negative
"adjustment, pldt ano na?????",Negative
sana po pasensyahan na sana nindo dae man po ninda kasalan magluya ang signal,Negative
halaton tana sana po bako tong kung ano ano papara comment nindo dae man din po kamo nakakatabang,Negative
umay naman yan converge maganda lang sa una amp pag mga bandang 1 ng,Negative
madaling araw putek ang hina subraaa,Negative
ayusin nio converge service nio. nagbbyad ng maayos sainyo. serbisyo nio di sapat sa,Negative
binabayad. nakakabwist na.,Negative
galaw galaw. shuta maray kung kamo mig explain sadi mga prof namo. atang laka mga,Negative
pirmi n sna tapos anggan ngo1 deri na uupdate statement of account..su pagbagyo dti,Negative
dawa binayadan n permi p dn kaiba.lang uyam! mgswitch n kamu s dctv,Negative
grabe palan siton a service ka pldt? sadi alabang unli fiber 200mbps uda basang problema.,Negative
kabagal ng internet niyo parang pagong,Negative
"maaga palang txt na sa bayadan piro ang service mahina naman ayosin ninyo hindi pinopulot ang pera, pang bayad sainyo",Negative
"hayst kaya man palan kakara ulat kami, di lugod na ilive so nag pageant sa miss guy",Negative
sadi brgy namo huhuhuh,Neutral
ang internet ko malakas pa ang chismosa kong kapitbahay,Negative
buti nalang na ayos agad internet connection namin dctv... kaso kanila na disconnect si,Negative
teacher sa online classes wala signal daw sila pldt.,Negative
nag taka pa kmo ka converge pirming uda,Negative
pota nag format ako ng pc ko! tangina kala ko malware yun pala net!,Negative
sira server amp! may digital illustrations akong tinatapos woiii!,Negative
dapat cguro e fully vaccinated na din si pldt para mawala na ang intermittent internet,Negative
service na lagi na lang dahilan baka kc napasok na rin ng virus ni covid ang sistema,Negative
ay unta mig rank pako sa codm,Negative
ata nangaga bebe time sa omegle tapos ome tv naduaan lugod sa internet,Negative
maski isay pa ang pilion nindo na leader kang satuyang bansa kung dae mag,Negative
maglapigot kan sadiri mo magugutom ka man giraray..grav pa mga kaniguan,Negative
nindo.may mga diskosyon pa kamung naaaraman maglapigot kamu..tapos anu c mga,Neutral
supporters man sana ang nag iiriwal samantalang c mga tawong pinagsusuportahan,Neutral
mabalos po..kami po natawan man kan sapon maski mga tinapay mga nantatao,Positive
"sira.mabalos mga taga bula,",Positive
mag vote tayo sa mga politiko kurakot din naman... kaya dun na tayo sa subok na ang pamilya pagdating sa kurakot bbm 2022!!,Negative
pag eleksyon nkkarating kyo. wag kami iba ning,Neutral
dati n may naaksidente dyan?? under construction ang area and dapat meron mga,Neutral
precautions signages dyan wag yong lagyan ing panambak?,Neutral
natakot sa truck. umiwas. yun lang me tambak pala yung tatabihan nya. drive safe po,Neutral
umiwas sa headon salpukan kontra trailer truck...kundi durog siya!,Negative
"drive safely alert. pagdefensive kasi, nagkakamali pagkaintindi ng iba. kala mo may",Neutral
"kasuntukan pa rin sa daan, defensive lang sir, pero tapusin ko to pagsinimulan mo, lots",Neutral
"unta man k manoy sa gilid man so tambak,,diri piriton kin nagtutungka magkapekape rin paminsan minsan",Negative
under construction palan kaya mayu lamang precautions signages.malamang kadakol,Neutral
"madisgrasya jan. malaag nayan ta may nagadan na, mga p",Negative
jhadzz b salvanera uda na bgayton ibng nirason,Neutral
kinimat kimat sanayton na signal kiton na pldt,Negative
"always mn na arog kn a pidt'pala kng mgtwag para sa adjustment,ssabiyon ngbbusy na",Neutral
"a line nra,style nyo bulok",Negative
liroj alidec mataban iton c villar lakiton kapara taban sa noyog saka pili,Positive
mala kmi kan sabado hanngang banggi mayong power supply apod s hot line cge ing,Neutral
paki usay na sana po tabi ta naka work from home.. sige parong parong kadi computer ko.. baka maraot na di.,Negative
balut penuy dapat eakusar man ka mga kosumidores a casureco laka inefficient ka serbicio,Negative
haiisst. panraot man tabi kamo sa appliances .amo po an usad sa dahilan ngata naraot so piso vendo namo migbrownout tas biglang balik ..,Negative
ta casurico 3 pakaraya tabi serbisyo ninyo ta kadakol na mga reklamo dri kamo.,Negative
nasusupog kiton lang dali ninyo maputol pero iton na serbisyo kaiyan ayaw man kamo,Negative
ta irak man kming mga consumer mairak tapis kong maraot tulos mga appliances uda,Negative
kmi kan isusunod na pambakal kaya paki usip casurico 3 pakaraya tabi serbisyo.,Negative
pay ente pirang aldow na kapalpak ka serbisyo agko na raot na gamit casureco amo,Negative
uno man daw kin kitang mga consumer magwelga man..,Neutral
tauno daw ta permi ning arog kan a setwasyin alagad parugang sanang parungang ka babayaran..,Negative
kaya magisip isip mga ka consumers kung uno dapat gibuhon magkakausad sana kita,Neutral
kin buong rinconada mag kakausad pagbisaranan na balyuwan sa ibang legit na operator kin agko,Neutral
mask ngani discconnection dri mag papa ec.maesiyan mna sana agko naka babayaran na disconnection fee....,Negative
"amo yan dapat unaon di yong puro pamumulitika, oban na a problemang an lalo sa iriga pirming brown out",Negative
lalo na kung gab e inayko bagana nag lamyerda a sulo on and off..,Negative
uda na sana pasadtowan lalong palubgob sa mga pobre,Negative
"kauyaman ninyo c3, atang nag kikiskis ko nyog sadi centro bigla sana paparong... uda",Negative
basang kamo abiso na agko pa oras 0 aldow na pwede kqmo mag sabi sa ngamin nyo,Negative
nasasakupan.... nakakaabala kamo sa negosyo.,Negative
nag aayat pa kmu na tataasan ninyo iton na bayad sa kuryente na pangangala ngni,Negative
bana disco light iton na kuryente,Negative
masakit saimu pasada rinconada camarines sur garu ka man lang abs kung magbareta,Negative
pakiayos man tabi kang caption haha.anak ng diktador?maging parehas kamu.yang,Negative
mga pulitiko may kanya kanya yan na tinatagong baho.makaanak ka ng diktador.saru ka,Negative
man na biased magbareta. y,Negative
basta po ako nka antabay na a powerbank plus emergency light plus pamaypay,Neutral
congrats saimo kabayan ! kng sisay ka man sana padabaon mo ang swerte na nkuha,Positive
mo... minsan ing yn mg abot sa buhay kan sarong tao.good luck sa u and god bless,Positive
wow sisay daw an ta mautangan haha congrats ingat ing at baka mabudol ka mag,Positive
laho na ing yan use wisely think wisely don't trust to much to,Positive
maray a arog kan mag papaisi bukong bigla sana ninyung brownout,Negative
mga kaarakan kadto ngane uda arug kiton piro nkakasal mn.mga pakitang tao ing kau,Negative
pag sawa na magluluko na hangang sa maghiwalayan na tma ba ko o mali?,Negative
sare n upod ah ngkasulo,Neutral
debbie jane belmonte sayang mn piggatong na sana kintana pinabakal sadto uda igatong,Negative
eu yan kaya daog sya sa sadiring banwaan pili ta puro sna bisara adi pili ngani dae nya na asikaso toltol,Negative
grabi nayton na katarantatuhan buko nayton gayud tama kin kuno,Negative
dakol na bakunado saka nagdakol kaso pisti,Negative
para kuwa kamu kiton an nganing pamasahe sadi parina to centro laka 50 pesos alagad,Negative
na pag usipan 3 man lang dapat a loog.,Negative
lyka jean aguado lay di magkara palawod bayda di dawa kabisto pwede yan kanimonh,Negative
gibon uda impossible dawa kabisto..,Neutral
pangyayari iton porket kakareport ing na agko sa manila yaun na tulos sadi bicol,Negative
buisit! kn dmo kya obligasyon mo ka igin...diri ika magpra pangigin!!buisi ! amo.,Negative
sanaytun maginibo mo! dmo bsang naisip kn pasari i2n kalag mo kn magraan nayka!,Negative
dawa tama sa linya minsan e cut sa linya saka minsan kin mga maduag a lunadan dawa tama sa linya sasadit na bihikolo pigkara bosinahan,Negative
dawa unong ungot mo sa kag egin mo kin toltol a utak mo di mo yan kayang gibuhon,Negative
ka kag egin mo la mong raot na egin,Negative
"ka supog talaga ang ibang filipino pigtabangan na nanghabon pa, kaherak pirmi ang biktima a",Negative
baka agku situn nagbasing tapos sinubsuban nadamay itun na tower or tinuyong kastan na subsuban.,Negative
"unta man iton.sabi 6 to 8am sana..mig 9am na tabi ngcp, casureco uda pa..ata kita",Negative
agko mga orders sa baking..panira kamo sa negosyo..pauno pa kita kadi magkayaman..,Negative
"palain lain sana ton kito kapay iton, kinakapay sana kamo kiton, ilingon ninyo ta si",Negative
"junior man jaday ipigkampanya kan,inda raw kaninyo",Negative
kaya dire mag para gibong milagro. ..tas d kya panindugan iabandona sa arog kiton. ..d,Neutral
nn nairak kiton egin uda man iton pagkasabot. .marsip kaninyo. ......kintana pinanao n,Negative
sana bukong arog kiton ginibo sa egin. .para pasiram tpos abo sa obligasyon. ..,Negative
ako dri ako mig reklamo ta uda man ako lunadan,Neutral
if pa centro mag baklay ta exercise na nka tipid pa,Positive
mga tawo tiga ay! dmu isi kin mairak ika o mbabadtrip paika sa kapatalan.. atang ika,Negative
"nagleleksyon ta maestra ika, nguwan maging leksyon man adi kanimo..",Negative
kaya palan maluya a bulos lalo na pgkakaramrag ta pgkukulang na sa bulls kanaka,Negative
dakol ka kunsumiduris .minsan a nagluluwas matakla.piro mga strikto s bill.pa asikaso,Negative
man dapat malinig a nagbubulos iksaktong naririgos uda na turo.,Neutral
"yan ang sala saindong mga kandidato,ugwa palan anomalya tano dai nindo kinasuhan",Negative
kadto pa?tas ngunian na maeleksyon saka kamo maburabuta.bulok na yan style na,Negative
"yan,mag barago na kta tanganing mag uswag na ining bansa ta.kada ma eleksyon arog",Negative
"kamo kaiyan,manratak nin pagkatawo nin iba.pagkapos kan eleksyon karasuhan nindo",Negative
ang siisay man na aram nindo na mga opisyales kan gobyerno na may anomalya.,Negative
"mga amigo kong taga nabua, diri napo ninyo pag sayangon. doc.. butch figuracion",Neutral
hay grabe na mga tawo nguwan,Negative
kin bukong sa inuman a agko kariribokan,Negative
adi nman sadi tinampo,Negative
mag pacencya amu yan kaipuwan ta,Neutral
dri an madadara sa init ka.mga pamayo,Neutral
mag bigayan kin kaipuwan ta puro man nanganga ipo sa ibubuway ka pamilya,Neutral
parting bula ba an??? bka na udit na ah langit ta tinaban so paroy ko taga bula.. tas,Neutral
sinubsuban pa so treaser niya..,Neutral
para kaya bubutongon adtong tricycle nganing makaluwas na a tawo ngoara ulat pa kin,Neutral
pulis. atang a pulis aabot man tigbak na a tawo.,Negative
tauno po tigang uda basang nkabayad kuyan labi n man kan ....kasupog man kiton mga,Negative
tga fabrica ...tauno dakul ya adik cton,Negative
"mga nguod ,, kin mga addict 0 mga naiinghit su mga nggibo qton.. dri iasa sna sa",Negative
karma.. dpat qton aksyon... iraq man kay papay...,Negative
kapasupog mo man ay.pati kton kag igin mo damay sa kasusupgan.kintana nag anap na,Negative
"sana ka sa trabaho,bukong arug kton ana gibo mo.",Neutral
ngata raw ta nauudaan na sa respeto ibang tawo sa ibang simbahan para ng,Negative
kay rakan sa dios..baloy po iton ki amang dios respeto man po... buko po iton na,Negative
barangay hall para dyan kayo mag discosyon..,Neutral
"inay kupo sana man palinawon ah isip ka mga tawo na nasasala., respeto po",Negative
ric orante bakal po kamo solar panel para dawa ilaw sana agko po kamo,Neutral
uno raw kya problema kdi pamilya ta deri magkaintindyan,Negative
baad nmn an paunu mbuhay sana pmilya niya. ka mga sdit p ka egn na binayaan .. .. .,Negative
din nairak.. amo p yn gnibo . ..,Negative
sadi ngani sta. teresita 45 ah pamasahe pa iriga pala siksikan pa sa tricycle. sa sta. maria,Neutral
to iriga 50 pa ang pamasahe...,Neutral
ta amo nadi sinasabi ko na uda talaga pweding mapagkakatiwalaan ngowan na,Negative
panahon na adi. dawa iton karugo mo kapasil na gibuwan na sa maraot. dapat kanimo,Negative
diri binubuway na tawo ka. diri basang ika nakatakot ka gibo mo yan mismong pinsan,Negative
mo pa ika so dahilan ka pagraan niya. takot na kapanahon ngowan.,Negative
dapat kiton amuton ginugoraan mga abong mag trabajo,Negative
maray sana agko kami cctv sadto jeziah beware sa mga kawatan amoyan so mga,Neutral
tawong ogakon abong magbanat sa buto.,Neutral
"oda man ibang gibo mag ulaymag manda,anyway dire ninyo ton",Neutral
madadara pag kamo guraan na,Neutral
valid i'd pa naman.masupog nyka present a i'd mo kin arog kiton. ono man raw itsura ko kanako.,Neutral
di na tabi mamuya ton gibo kiton casureco! pag lawod cge parong parong ka power,Negative
tapos mig arog pa kiton nagbabayad tabi kami sa tama dapat a serbisyo tama man!,Negative
dapat tanggalin n yan s pagkapulis para magausa din cla habang bunaysoprang,Negative
saro pa gabus dapat na sangkot jan dapat matic na yan halion sa trabaho ta mauutro,Negative
bakit ba hinde na alisin ang ganyang mga hazing sa mga pulis kawawa nman mga,Negative
"biktima, kya nga sila pumasok bilang alagad ng batas dahil sa future nila tapos",Negative
mawawala lang ang tsansang ito.,Negative
amo man sana adi mga pulis nagpapasali uno man ninyo gustong sabihon ka ginibo,Negative
ninyo? sumusikat kamo? imbes na maray a imahe ka pnp rinaraot ninyo. imbestigaran,Negative
"dapat ading kaso di sa maray ta baka magkabalewalaan sana, uda makasuhan saka",Negative
makulong. tawan sa leksyon ana mga involved na pulis tanganing diri pamaryuhan!,Negative
"baao uno na uran uran sana baga baha na tulos, uban na ding problema uda pa",Negative
dyaday solusyon. galaw galaw kin isay responsable kading problemang adi. tapos na eleksyon mag trabaho nal!!!,Negative
rosemarie barrameda bisenio di man po sana pagsisiyon a mga nasa presto ta,Neutral
halos man po ngamin ninda ginigibo maresulberan sana yan.,Neutral
di pag basol just a reminder. dapat amo di priority...,Neutral
nasobrahan yan sa pahirap ng mga trainors,Negative
nkakaraot kmu sa imahi kan mga tultol na pulis dapat saindo padusahan man.,Negative
"may rotc daa ngani may disiplina,niya ano ini ta mga abusado lugod?sna dai ninda",Negative
pgpabayan na dai mapadusahan an mga nimal na an,Negative
grabe naman po yang ginawa sa mga batang pulis na yan...ano klaseng isip meron ang,Negative
"gumawa nyan sa knila,dna naawa sa tao.. pinag aral ng magulang ts gaganyanin lang...",Negative
pwd man po an tanggalon dawa uda pa pulis nalo na kung kaipuhan sa tabang para,Negative
maisalba a buhay ka tawo. pwd man po na picturan tas pag ka picture koon na so tawo para maligtas so buhay nya.,Neutral
hanep tiga kung pinag save tulos u pinsan q may ambulance na dri pa nira tinabangan,Negative
agad.. posibleng buhay pa kung dinara tulos sa ospitl,Negative
"imbis na mabuway pa diri na ta di muna kuno tangalon, napauno na sna su first aid",Negative
basang? diri pwd ta need e pulis dapat e picture dapat arog kan,Negative
irak man ata natuturog na si kuya... maray sanang deri man nauno su lalaki...lyan sa,Negative
nagpapraktis pa sana ka manay... da sang ika labot,Negative
style man ni manay gusto man sana garo makidurog,Negative
sleep kana ulit kuya panaginip molang yan,Neutral
grabe man si manay bagana uda sang labot ata iya na ngane nakadisgrasyal!!,Negative
irak man ki manoy,Negative
iron ang fire truck siton atobangan kin uda na tubig magkuko na,Negative
ito mga pag abayan ag kampang tumabang na magsaribo...,Neutral
katakot nman pag ganyang k isay yan baloy,Negative
tubig sa kali gamitin na tarabang na tabi,Neutral
inayko ko ngluluyap na kalayo di na kya ka bombero,Negative
sobrang init na gad kaya di na maranihan maski magtabang,Negative
nabayad ko di tas so mga tawo imbes na mag tabang tah pig videohan pa...,Neutral
"napanood ko ang sunog kagabi sa baao ,nakakalungkot sa mga nasunugan ,d ako",Negative
"nakatulog ng maayos,sabi nga manakawan ka na hwag ing masunugan.",Negative
ingat po tau lahat unflag lagi mga nakasasak wag natin kalimutan mga appliances pag aalis ng bahay naka saksak,Neutral
uda man nag rugop na mag sagob tubi inasa sa bombero na 1saba su hous,Negative
ki say rw na baloy adi ing rani kna baao fire. nag lalang maray ana kalayu. kya ingat,Negative
tw kta pirmi ta. masakit na kin arug na kan mary pa bagyo ta agko pa mafutuda pro,Negative
ana kalayu aabufon mo abu...,Negative
ngata po kaya pig vivideohan sana dapat inagapan na po tulos na pagpagan kan gumit nganeng dina lumala.,Negative
maray sana po nasira tulos!!,Positive
maray sana naromroman mo 10k ayuda,Positive
sa aga daa 20 nalang kilo kan bagas,Positive
adi sinapna q sadi rice cooker ol og na,Negative
paki iray naman tabi tah babayad man kami sa tama migputol ura urada peo serbisyo.,Negative
ninyo dri ninyo pinapakaray kaipuwan man namu kuryente lalo na kami mga agko igen.,Negative
"ka uda ugali, atah nagkakaon ako bigla nauda kuryente, maray sana talong so isura",Negative
ko diri ako naluog pero madali ako mabilaukan tsssskkk,Negative
sa kakasurat ki sec. bello n buksan ulit su agency dawa kmi ordinaryo n tawo,Neutral
sna inatubang kmi kadi sdto house of representative salmat po sa malaka dakol,Positive
condolence to the bereaved family..rip cong.andaya..,Negative
wew. maan pgmaneho kmo. agku mga nguulat na pamilya kninyo.,Neutral
"kamo na sanang gana,mabuway,ta kami ng mga consumer a makuba,mag hanap buhay para kaninyo. pf srp",Neutral
evelyn stacruz curativo resulta iton kiton fly high iriga pati c casureco 3 nag,Neutral
"high man,pero a service pabulosok pababa ng pababa",Negative
labu labuha sna nyo pgtaas sn mn sna kamo maray casureco 111 pero ito serbisyo nyo palpak pangangala brown out.,Negative
maria theresa fulo embestro ragire pa sna ngani brown out na,Negative
"gsto mg pasikat kuno n ing hihigos,kalukuhan nindong maray kng gusto nindo mg",Negative
"pasikat d n nindo pg dayun iton mga igin,,",Negative
sadto gayu ading upod kding pamilya ko. keep safe everyone a a a,Positive
grabi na pati siton bukid nag babaha.,Negative
kasosopog mona naging taga bicol kapa.nag dayo kapa sa bulacan para,Negative
manlupig.handa muna saimo atotan tah cgurado yan sa kulongan.kung bako maluwas kang gadan.,Negative
alvin flora cardinal taga bicol yan lalaki,Neutral
hayop sana. grabi ginawa nya sa bata...,Negative
alvin flora cardinal dapat saiya taguinudan sa daruanak,Negative
roberto espiritu balisa jr. eu kuta dibale sa kulongan naman ang harong,Negative
"ug bukas kotse gang, tung tawhana nganung wala nalang gipa priso,, nganung patyon paman,, walay klaro ang report,,",Negative
riparo q lang ta uno a lgu ta nag post na sa fb na deri pa man quno inaabisuhan a,Negative
"mga driver, uda pa man quno sinda pagkaisi kaya dati pa man a singil ninda, malibong",Negative
"kamo dapat miniting nguna ngamin na tricycle driver nganing uda sinda rason na uda pagkaisi, ay inda raw0",Negative
kuno mn rw tabi sadi iriga mgbago ka fare matrix nganing mgbarato mn basang sa gatingay a pliti.,Neutral
sadi iriga kuno man mababago. agko na klase sa private. dapat ibalik na sa dati. an,Neutral
nganing city proper sana dapat 10 ta lugi man sa 15 o 20. kin galin palan ikang,Neutral
"landbank pa usant, sure ball na a darwang balikan kadto.",Neutral
ading bula lirag kno manraw tabi migbagong fare matrix?sana mabalik sa dating,Neutral
pamasahe lalo mig abring klase na,Neutral
ligaya florece alanis amo pirmi baga 20 pg ngpaatod pka sd baloy 40,Neutral
ligaya florece alanis amo nni manay.. mrarapak adi bulsa q sa pmasahe pa sna..,Negative
ngaranan ninyo sir para mabisto man namo ta permi man kaming natabanan manok narakop sadto baloy,Negative
"kun nadakop me ika kan kan hwebes na banggui pag habon mu igde sa pili, inda ko sna",Negative
saimu hehehee pero bbcitahon tka sa bula mpcs saaga ta ma file man kmi ni reklamo,Negative
ano man igwa an cam sur para pasyaran kan mga taga aklan? nakikiaram na kaya sa,Negative
ibang lugar bako asikasuhon an sadiring nasasakupan tapos eu pa may gana maanggot,Negative
mary ann pefia frial lyong gayu kahimanwa,Positive
"san n kita mag ngalas takin, tangata ta bukid n binabaha pa,,",Negative
jiovanni serdifio puon lang po an ko pg iwasan a tinampo tas sinadayan a mga kali,Negative
ingat sna po kmo ngamin cton,Positive
maray sana sa kasiraman pag abot sa pag aroga ka egen pinabayaan nagray ng pag,Negative
sasampalingon ana arog kadeng kag egen.,Negative
nayku man... sana ipinanao na sana dina sana pina arug kan irakman ka igen na uda,Negative
kamalay malay . may god bless you baby... sana maka recover man tulos a a a a.,Positive
ne sarah lyn arog na kan sadi kanato kada pag uuranlang ngiri na ka mga igen lalo,Negative
na pag natagbo na urulean,Negative
nina galvez malazarte da mn kaya maagyan na kali a tubig kya naninampo na sana,Negative
"la, an mo kiton na kamanyakan mo,",Negative
dri maraya talagang ilang na gad manyakis na ng takot na sa mga minor d edad na mg,Negative
bola kadi dapat dri ma adi mka luwas ta manyak na,Negative
llang na yan kan pag nka piyansa nman utro nman pangala kulong tapos piyansa tapos kulong tapos piyansa tapos kulong,Negative
kaya maray ng mag solar ta d nag ba blackout permi agko power..dpa mag babayad sa,Positive
maray sanang agko na kami solar hehe panlaban sa brown out,Positive
pirme na sana baga uda katapusan na pag aayos or pagraraot,Negative
uno nang yari ta nag bbaha na siton iriga. dati diri man siton aabot sa tubig.,Negative
ingat po! tyo jn sa iriga,Positive
amo man iton di kaya nag papa linig kito mga kali na naman,Negative
uban ng problemay ton kada tag uran pirming nagbabaha cton centro,Negative
ren cortero tama po ika.. uda pag babago so dati pa nanggad.,Negative
ngatx po kayo dyan sa iriga,Positive
grabe uran pa sana yan pa ono kung baguio pa kaya lubog na eton na iriga,Negative
maan tabi kamong mga taga iriga...,Positive
my god pauno n kdi s mkalabos atang meg iray dkol n kdi tubig,Neutral
vince phanny lakas yan pinsan ingat kayo.,Positive
omg .. ranow baga ay. ingat tabi kamo. ta migluwasan siton so mga nag,Positive
